st_abbv,state,strucnum,rectype,nicarid,rtsigprf,deslev,rtnum,dirsuff,hwyagncy,cnty,place,feature,strcture,location,invrte,milept,kmpt,basehwy,lrsnvrte,subrtnum,latitude,latmap,longtude,longmap,bylength,toll,mainresp,owner,funclass,year,laneson,lanesun,avgday,avdayno,yravg,designld,approw,apprdno,brimed,skew,strucflr,rail,transit,appguard,guardend,histsig,navcont,vertclr,vertclno,horclear,horclno,strcstat,onserve,undserve,material,construc,materal2,contruc2,numspan,mnspno,numapp,appno,tothorcl,tothorno,maxspan,maxsplgt,strlengt,strlngno,leftwalk,lftwlkno,ritewalk,rtwalkno,roadwid,rdwidno,deckwid,dckwdno,minverto,mvcono,refeat,minvertu,mvcuno,reffeat2,minlatu,mlcurno,minlatl,mlculno,deck,super,substruc,channel,culvert,mthdoprt,oprat,opratno,mthinvrt,invrat,invratno,strceval,deckgeo,undclear,bripost,waterade,rdalign,typeprop,doneby,length,lengno,inspdate,inspmnth,inspyear,inspfreq,inspfrno,critfrac,critund,critoth,critfrdt,critundt,crtothdt,brdimpro,brdgimno,rdimprov,rdimpno,totlcost,totcstno,impcstyr,ngbrstcd,pcntresp,bordbrno,strahwy,parstruc,dirtraf,tempdes,highinv,fedlndhy,yrrecnst,decktype,typewear,membrane,deckpro,avtraff,avtrafno,desnet,pierpro,nbisleng,scour,futdaily,futdlyno,futyear,minnav,minnavno,fedind,wahquse,stat,aster,suffrate,suffrtno,stat2,bridgecond,bridgecondcd
NC,374,000000000510064,1,3740000000005100641,3,1,01710,0,06,051,00000,CR. OFF CAPE FEAR RIV.,SR1710,1.0 MI SW OF JCT SR1609,9999,0000000,0,0,NA,NA,35111620,35.187833,078465959,-78.783219,002,3,01,01,09,1980,02,00,000280,280,2013,1,0610,61,0,00,0,N,N,N,N,5,0,0000,0,00000,0,A,1,5,3,19,0,00,003,3,0000,0,059,5.9,00027,2.7,000011,1.1,000,0,000,0,0000,0,0000,0,9999,99.99,N,0000,0,N,000,0,000,0,N,N,N,7,6,3,898,89.8,3,898,89.8,6,N,N,5,7,8,NA,NA,NA,NA,0816,08,16,24,24,N,N,N,NA,NA,NA,000000,0,000000,0,000000,0,NA,NA,NA,NA,0,N,2,NA,0,0,0000,N,N,N,N,06,6,0,1,Y,8,000560,560,2025,0000,0,3,7041117,NA,*,100,10,0,F,6
IA,197,000000000204361,1,1970000000002043611,4,1,00000,0,00,103,00000,F OLD MANS CREEK,SW EAGLE AVENUE,079081004,9999,0010999,10.999,0,NA,NA,41394118,41.661439,091461217,-91.770047,005,3,02,02,09,2002,02,00,000050,50,2014,5,0790,79,0,15,0,1,1,1,1,3,0,0000,0,00000,0,A,1,5,2,01,0,00,003,3,0000,0,073,7.3,00149,14.9,000381,38.1,000,0,000,0,0073,7.3,0085,8.5,9999,99.99,N,0000,0,N,000,0,000,0,8,8,8,8,N,1,538,53.8,1,323,32.3,7,6,N,5,8,8,NA,NA,000000,0,0717,07,17,24,24,N,N,N,NA,NA,NA,000000,0,000000,0,NA,NA,NA,NA,0,NA,0,N,2,NA,0,0,0000,1,1,0,1,00,0,0,NA,Y,8,000050,50,2037,0000,0,1,9050918,NA,NA,100,10,0,G,8
IL,175,034411000000000,1,1750344110000000001,4,1,00000,0,06,067,00000,CAMP CREEK,TR 7,2.5 SE DALLAS CITY,9999,0000028,0.028,0,NA,NA,40372177,40.622714,091065145,-91.114292,003,3,03,03,09,1962,02,00,000275,275,2014,3,0610,61,0,20,0,0,0,0,0,5,0,0000,0,00000,0,P,1,5,5,05,0,00,003,3,0000,0,081,8.1,00137,13.7,000408,40.8,000,0,000,0,0074,7.4,0083,8.3,9999,99.99,N,0000,0,N,000,0,000,0,5,5,4,7,N,7,298,29.8,7,133,13.3,4,5,N,1,8,6,34,1,004080,408,0317,03,17,24,24,N,N,Y12,NA,NA,1117,000161,161,000016,16,000242,242,NA,NA,0,NA,0,N,2,NA,0,0,NA,2,8,0,0,08,8,0,NA,Y,5,000125,125,2032,0000,0,1,7052118,NA,NA,347,34.7,1,P,4
OH,395,3843017,1,39538430171,4,1,T0256,0,11,075,51422,SHRIMPLIN CREEK,TOWNSHIP ROAD 256,0.07 MI. WEST OF TR 257,9999,0001673,1.673,0,NA,NA,40330856,40.552378,082020468,-82.034633,003,3,02,02,09,1932,01,00,000096,96,2015,0,0430,43,0,00,0,0,0,0,0,5,0,0000,0,00000,0,A,1,5,3,02,0,00,001,1,0000,0,005,0.5,00076,7.6,000082,8.2,000,0,000,0,0005,0.5,0005,0.5,9999,99.99,N,0000,0,N,000,0,000,0,8,8,6,6,N,6,295,29.5,6,175,17.5,5,3,N,5,7,8,NA,NA,NA,NA,0118,01,18,12,12,N,N,N,NA,NA,NA,000000,0,000000,0,000000,0,NA,NA,NA,NA,0,N,3,NA,0,0,2007,6,6,0,9,07,7,0,NA,Y,8,000133,133,2040,0000,0,3,9050418,NA,NA,67,6.7,2,F,6
AL,014,012569,1,0140125691,3,1,00024,0,02,103,00000,BRANCH,SR 24,0.9 MI W JCT SR 67 * SR24,9999,0110979,110.979,1,000AL00240,00,34360000,34.6,087023000,-87.041667,005,3,01,01,02,1981,04,00,014490,14490,2013,5,2190,219,1,10,0,1,1,1,1,5,0,0000,0,00000,0,A,1,5,1,19,0,00,002,2,0000,0,122,12.2,00003,0.3,000064,6.4,000,0,000,0,0000,0,0000,0,9999,99.99,N,0000,0,N,999,99.9,000,0,N,N,N,7,7,1,591,59.1,1,355,35.5,7,N,N,5,7,8,31,1,001260,126,0516,05,16,24,24,N,N,N,NA,NA,NA,001550,1550,000155,155,001705,1705,2018,NA,0,_,0,N,2,NA,1,0,0000,N,6,8,8,06,6,0,NA,Y,8,019211,19211,2033,0000,0,0,1050418,NA,*,809,80.9,0,G,7
PA,423,000000000012828,1,4230000000000128281,5,1,00000,0,03,037,50704,MONTOUR RUN,T-356   CTY BR #57,0.5 MI. NW OF RUPERT,9999,0000000,0,0,NA,NA,40590780,40.9855,076283755,-76.477097,002,3,02,02,09,1927,02,00,000150,150,2017,0,0610,61,0,06,0,0,0,0,0,4,0,0000,0,00000,0,A,1,5,0,11,0,00,002,2,0000,0,073,7.3,00034,3.4,000091,9.1,000,0,000,0,0073,7.3,0008,0.8,9999,99.99,N,0000,0,N,000,0,000,0,N,3,4,6,N,0,544,54.4,0,327,32.7,3,5,N,5,7,8,35,2,000009,0.9,0317,03,17,24,24,N,N,Y12,NA,NA,0317,000004,4,000020,20,000057,57,NA,NA,0,NA,0,N,2,NA,0,0,0000,N,N,N,N,02,2,0,NA,Y,7,000232,232,2039,0000,0,4,2053118,NA,NA,475,47.5,1,P,3
TX,486,191030049508272,1,4861910300495082721,1,1,00020,0,19,205,00000,CLARKS CREEK,IH 20 WB,3.70 MI E OF LP 281,9999,0009263,9.263,NA,NA,NA,32280922,32.469228,094361681,-94.604669,002,3,01,01,01,1966,02,00,017320,17320,2013,5,1160,116,0,00,0,1,1,1,1,3,0,0000,0,00000,0,A,1,5,1,02,1,02,001,1,0004,4,116,11.6,00122,12.2,000491,49.1,000,0,000,0,0116,11.6,0127,12.7,9999,99.99,N,0000,0,N,999,99.9,000,0,6,6,7,7,N,5,444,44.4,5,327,32.7,6,6,N,5,9,8,NA,NA,000000,0,0817,08,17,24,24,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,L,1,NA,1,0,0000,1,6,8,8,26,26,1,NA,Y,8,024250,24250,2033,NA,NA,4,8050918,NA,NA,964,96.4,0,F,6
SD,468,000000050328166,1,4680000000503281661,1,1,00090,2,02,099,53740,LONE ROCK CK,I090 E,1.2 W MINNESOTA LINE,9999,0006621,6.621,1,NA,00,43363159,43.608775,096283189,-96.475525,001,3,01,01,01,1959,02,00,006695,6695,2017,6,1220,122,0,00,0,1,1,1,1,5,0,0000,0,00000,0,A,1,5,2,01,0,00,004,4,0000,0,122,12.2,00071,7.1,000028,2.8,000,0,000,0,0122,12.2,0135,13.5,9999,99.99,N,0000,0,N,000,0,000,0,7,7,7,6,N,1,635,63.5,1,381,38.1,7,7,N,5,8,8,NA,NA,000000,0,0517,05,17,24,24,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,R,1,NA,1,0,0000,1,5,3,0,18,18,1,NA,Y,3,009882,9882,2037,0000,0,4,6050318,NA,NA,977,97.7,0,G,7
OH,395,5740231,1,39557402311,4,1,T0027,0,07,113,38738,TRIB. BEAR CREEK,GERMANTOWN LIBERTY,200 FT S FRMRVLL W CRLTN,9999,0001529,1.529,0,NA,NA,39402099,39.672497,084200408,-84.334467,003,3,02,02,09,1963,02,00,000076,76,2015,0,0730,73,0,00,0,1,1,1,1,5,0,0000,0,00000,0,A,1,5,5,05,0,00,001,1,0000,0,073,7.3,00104,10.4,000113,11.3,000,0,000,0,0073,7.3,0073,7.3,9999,99.99,N,0000,0,N,000,0,000,0,9,9,9,9,N,6,969,96.9,6,058,5.8,9,6,N,5,8,7,NA,NA,000000,0,1017,10,17,12,12,N,N,N,NA,NA,NA,000000,0,000000,0,000000,0,NA,NA,NA,NA,0,N,2,NA,0,0,2011,1,6,0,N,07,7,0,NA,Y,8,000105,105,2039,0000,0,3,9050418,NA,NA,100,10,0,G,9
OK,406,200590000000000,1,4062005900000000001,4,1,N2770,0,04,017,00000,CREEK,N2770,3.E 2.8S OF CALUMET,9999,0002896,2.896,0,NA,NA,35331031,35.552864,098035544,-98.0654,003,3,02,02,09,1982,02,00,000100,100,2016,5,0910,91,0,00,0,0,0,0,0,5,0,0000,0,00000,0,A,1,5,1,19,0,00,003,3,0000,0,085,8.5,00003,0.3,000101,10.1,000,0,000,0,0085,8.5,0009,0.9,9999,99.99,N,0000,0,N,000,0,000,0,N,N,N,5,6,2,327,32.7,2,191,19.1,5,7,N,5,7,6,31,1,003470,347,1017,10,17,24,24,N,N,N,NA,NA,NA,000100,100,000075,75,000225,225,2015,NA,0,_,0,N,2,NA,0,1,0000,N,0,0,0,10,10,0,1,Y,8,000160,160,2036,0000,0,4,0051618,NA,NA,802,80.2,0,F,6
OH,395,3844951,1,39538449511,4,1,T0323,0,11,075,64584,RUSH RUN,TOWNSHIP ROAD 323,0.08 MI. SOUTH OF CR 1,9999,0011456,11.456,0,NA,NA,40394105,40.661403,081574184,-81.961622,005,3,02,02,09,2010,02,00,000124,124,2015,5,0470,47,0,45,0,0,1,1,1,4,0,0000,0,00000,0,A,1,5,3,02,0,00,001,1,0000,0,057,5.7,00111,11.1,000116,11.6,000,0,000,0,0057,5.7,0058,5.8,9999,99.99,N,0000,0,N,000,0,000,0,8,9,9,4,N,6,405,40.5,6,324,32.4,8,3,N,5,8,8,NA,NA,NA,NA,1217,12,17,12,12,N,N,N,NA,NA,NA,000000,0,000000,0,000000,0,NA,NA,NA,NA,0,N,2,NA,0,0,0000,6,6,N,N,07,7,0,NA,Y,8,000172,172,2039,0000,0,3,9050418,NA,NA,81,8.1,2,G,8
VA,513,000000000026005,1,5130000000000260051,3,1,00007,0,09,107,00000,TRIB.OF SLEETER LAKE,LOUDOUN ST EAST,00.25FR719/00.25TO7BYPASS,9999,0001448,1.448,0,0000000000,00,39080295,39.134153,077454933,-77.763703,008,3,01,01,17,1999,03,00,005996,5996,2014,6,1040,104,2,00,0,N,N,0,1,5,0,0000,0,00000,0,A,1,5,1,19,0,00,003,3,0000,0,167,16.7,00018,1.8,000064,6.4,000,0,012,1.2,0000,0,0000,0,9999,99.99,N,0000,0,N,000,0,000,0,N,N,N,6,7,1,999,99.9,1,581,58.1,7,N,N,5,7,8,35,2,000068,6.8,0217,02,17,24,24,N,N,N,NA,NA,NA,000029,29,000044,44,000100,100,2015,NA,0,NA,0,N,2,NA,0,0,0000,N,N,N,N,01,1,0,NA,Y,5,007050,7050,2035,NA,NA,5,1050418,NA,*,823,82.3,0,G,7
OH,395,7706812,1,39577068121,1,1,00076,0,04,153,76106,OVER EASTWOOD AVE CR-653,I.R. 76,0.72 MI E OF SR 532,9999,0028528,28.528,1,0000000076,00,41045930,41.083139,081234592,-81.396089,002,3,01,01,11,1958,04,02,060354,60354,2015,6,1520,152,3,39,0,1,1,1,1,5,N,0000,0,00000,0,A,1,1,4,02,0,00,003,3,0000,0,152,15.2,00198,19.8,000532,53.2,000,0,000,0,0152,15.2,0378,37.8,9999,99.99,H,0460,4.6,H,024,2.4,024,2.4,8,8,8,N,N,7,405,40.5,7,324,32.4,8,2,5,5,N,8,NA,NA,NA,NA,0517,05,17,12,12,N,N,N,NA,NA,NA,000000,0,000000,0,000000,0,NA,NA,NA,NA,1,L,1,NA,1,0,2002,1,2,N,1,08,8,1,NA,Y,N,083771,83771,2039,0000,0,3,9050418,NA,NA,706,70.6,2,G,8
CA,069,53 1522S,2,06953 1522S2,1,7,00405,0,NA,037,36546,N405-MANCHESTER BL OFFRP,CENTURY BL-N405 ON,07-LA-405-22.53-ING,0459,0002253,2.253,NA,NA,NA,33565831,33.949531,118220531,-118.368142,001,3,NA,NA,11,1963,03,02,015001,15001,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,01,NA,NA,NA,NA,NA,NA,106,10.6,00039,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,R,NA,NA,1,NA,NA,NA,NA,NA,NA,05,5,1,NA,NA,NA,NA,NA,NA,NA,NA,0,6060118,NA,NA,NA,NA,NA,NA,NA
HI,159,003000H30311410,1,159003000H303114101,1,1,000H3,0,25,003,28250,SERVICE ROAD & RAMP,H3 FRWY,30' SW 0F KAMOOALII STRM,9999,0018362,18.362,0,00000000H3,00,21230704,21.385289,157472931,-157.791475,000,3,01,01,01,1988,02,00,023940,23940,2007,5,1220,122,0,00,0,N,N,N,N,5,N,0000,0,00000,0,A,1,9,3,19,0,00,002,2,0000,0,119,11.9,00034,3.4,000076,7.6,000,0,000,0,0122,12.2,0000,0,9999,99.99,N,0000,0,N,000,0,000,0,N,N,N,8,7,2,049,4.9,2,327,32.7,7,5,N,5,9,8,38,NA,000000,0,0616,06,16,24,24,N,N,N,NA,NA,NA,000000,0,000000,0,000000,0,NA,NA,0,NA,1,N,2,NA,1,0,0000,N,N,N,N,03,3,0,NA,Y,8,028600,28600,2025,NA,NA,1,5051618,NA,NA,97,9.7,0,G,7
